id;nom_lieu_dit;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;source_position;source_nom_voie
74236_nxysyz;Les Thovex;74170;74236;Saint-Gervais-les-Bains;;;991233.48;6537417.23;6.755874;45.874073;bal;bal
74236_B435;Les Toilles d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;988572.88;6539718.53;6.723011;45.895907;bal;bal
74236_B436;Les Toilles d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;988757.73;6539701.47;6.725382;45.895675;bal;bal
74236_f83z0w;Les Traits;74170;74236;Saint-Gervais-les-Bains;;;991166.29;6536524.96;6.754462;45.866076;bal;bal
74236_weayee;Les Trombères;74170;74236;Saint-Gervais-les-Bains;;;988879.72;6536285.29;6.724876;45.864895;bal;bal
74236_C130;Les Truz d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;987358.68;6536413.89;6.70537;45.866696;bal;bal
74236_C131;Les Truz d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;987344.05;6536252.56;6.705084;45.865251;bal;bal
74236_ii2nwr;Les Vannets;74170;74236;Saint-Gervais-les-Bains;;;990888.17;6533741.01;6.749178;45.841154;bal;bal
74236_B456;Les Vannets-Martelets;74170;74236;Saint-Gervais-les-Bains;;;990922.01;6534431.8;6.750036;45.847353;bal;bal
74236_t2dg7f;Les Vincents;74170;74236;Saint-Gervais-les-Bains;;;987792.04;6536439.15;6.710965;45.86674;bal;bal
74236_b6mm8w;Les Vorets;74170;74236;Saint-Gervais-les-Bains;;;989047;6539750.15;6.729138;45.89599;bal;bal
74236_0nlsjf;Les Vorets;74170;74236;Saint-Gervais-les-Bains;;;988852.08;6537002.39;6.724956;45.871357;bal;bal
74236_kxx6jt;Les Vrets;74170;74236;Saint-Gervais-les-Bains;;;993064.1;6536728.85;6.779022;45.867095;bal;bal
74236_4h78pe;Les Vuargnes;74170;74236;Saint-Gervais-les-Bains;;;989628.31;6536071.86;6.734384;45.862657;bal;bal
74236_C126;Le Tarchet d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;987492.21;6537175.59;6.70755;45.873491;bal;bal
74236_cyo805;Le Térey;74170;74236;Saint-Gervais-les-Bains;;;987014.79;6535332.17;6.700289;45.857111;bal;bal
74236_kpf5id;Le Thovex;74170;74236;Saint-Gervais-les-Bains;;;987391.06;6536513.36;6.705847;45.867577;bal;bal
74236_y8ak70;Le Tranchet;74170;74236;Saint-Gervais-les-Bains;;;990625.66;6535135.69;6.746652;45.853811;bal;bal
74236_B440;Le Tremblay d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;988758.43;6537992.75;6.724352;45.880305;bal;bal
74236_B441;Le Tremblay d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;988968.57;6537988.89;6.727056;45.880181;bal;bal
74236_B446;Le Tronchet d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;986151.68;6537984.78;6.690775;45.881335;bal;bal
74236_B448;Le Tronchet Devant d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;985834.43;6537504.36;6.6864;45.877147;bal;bal
74236_eibvhp;Le Tronchet Devant d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;985711.12;6537311.5;6.684696;45.875464;bal;bal
74236_B450;Le Tronchet du Milieu;74170;74236;Saint-Gervais-les-Bains;;;985886.73;6537885.79;6.687303;45.880556;bal;bal
74236_xn7i6n;Le Truc;74170;74236;Saint-Gervais-les-Bains;;;991149.49;6533365.09;6.752311;45.837661;bal;bal
74236_00rd6w;Le Véleray;74170;74236;Saint-Gervais-les-Bains;;;984846.91;6530220.32;6.66932;45.81204;bal;bal
74236_6iccan;Le Vernet;74170;74236;Saint-Gervais-les-Bains;;;988067.15;6538622.42;6.715831;45.886262;bal;bal
74236_bq7g69;Le Verney;74170;74236;Saint-Gervais-les-Bains;;;987025.61;6538063.52;6.702078;45.881675;bal;bal
74236_C137;Le Vivier-Nord;74170;74236;Saint-Gervais-les-Bains;;;988863.4;6535953.22;6.724464;45.861915;bal;bal
74236_C138;Le Vivier Sud;74170;74236;Saint-Gervais-les-Bains;;;989063.03;6535727.73;6.726897;45.859802;bal;bal
74236_9enqhd;Le Voracet;74170;74236;Saint-Gervais-les-Bains;;;992183.59;6535511.6;6.766937;45.856525;bal;bal
74236_B272;L'Île de Brey;74170;74236;Saint-Gervais-les-Bains;;;987482.38;6540582.46;6.709486;45.90414;bal;bal
74236_C078;Longemalle Devant;74170;74236;Saint-Gervais-les-Bains;;;987269.17;6535201.91;6.703485;45.855832;bal;bal
74236_hvq40r;L'Ormey;74170;74236;Saint-Gervais-les-Bains;;;991319.16;6535831.05;6.756005;45.859769;bal;bal
74236_fitokk;Louge;74170;74236;Saint-Gervais-les-Bains;;;985111.08;6539169.41;6.678084;45.892428;bal;bal
74236_sod170;L'Uche;74170;74236;Saint-Gervais-les-Bains;;;986837.17;6539108.26;6.700282;45.891152;bal;bal
74236_B294;Maison Neuve d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;989904.16;6533504.11;6.73637;45.839443;bal;bal
74236_B295;Maison Neuve d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;990081.29;6533349.19;6.738555;45.837974;bal;bal
74236_kobk6x;Miage;74170;74236;Saint-Gervais-les-Bains;;;991777.17;6533619;6.760544;45.839676;bal;bal
74236_axrs8t;Mollesule;74170;74236;Saint-Gervais-les-Bains;;;985707.55;6539632.03;6.686046;45.896339;bal;bal
74236_B312;Mont d'Arbois;74170;74236;Saint-Gervais-les-Bains;;;983875.67;6535096.72;6.659736;45.85631;bal;bal
74236_izr032;Montivon;74170;74236;Saint-Gervais-les-Bains;;;989149.25;6537635.89;6.729168;45.876929;bal;bal
74236_B315;Mont-Lachat;74170;74236;Saint-Gervais-les-Bains;;;993639.58;6537479.1;6.786895;45.873595;bal;bal
74236_s0n9l9;Montoire;74170;74236;Saint-Gervais-les-Bains;;;989826.2;6536013.31;6.736896;45.862046;bal;bal
74236_B316;Mont-Paccard;74170;74236;Saint-Gervais-les-Bains;;;988279.07;6539720.02;6.719227;45.896045;bal;bal
74236_hjnm59;Morneau;74170;74236;Saint-Gervais-les-Bains;;;988077.81;6539422.93;6.716454;45.893458;bal;bal
74236_tv2fby;Ombraz;74170;74236;Saint-Gervais-les-Bains;;;988208.24;6537042.85;6.71669;45.871994;bal;bal
74236_B335;Ombraz-Vers les Ney;74170;74236;Saint-Gervais-les-Bains;;;988121.71;6537193.41;6.715667;45.873385;bal;bal
74236_B339;Orsin Derrière;74170;74236;Saint-Gervais-les-Bains;;;987221.99;6537646.5;6.704355;45.877841;bal;bal
74236_B340;Orsin Devant;74170;74236;Saint-Gervais-les-Bains;;;987345.3;6537480.97;6.705843;45.8763;bal;bal
74236_C085;Palengeard-Derrière;74170;74236;Saint-Gervais-les-Bains;;;987328.85;6533852.52;6.703438;45.843669;bal;bal
74236_q1ixaa;Panloup;74170;74236;Saint-Gervais-les-Bains;;;987850.36;6538801.1;6.713147;45.887961;bal;bal
74236_gpu79l;Pétrizon;74170;74236;Saint-Gervais-les-Bains;;;986521.32;6539387.5;6.696382;45.893797;bal;bal
74236_mtnm1a;Piedchat;74170;74236;Saint-Gervais-les-Bains;;;988300.92;6538798.53;6.718949;45.887747;bal;bal
74236_B356;Pierre Plate;74170;74236;Saint-Gervais-les-Bains;;;985983.05;6537642.26;6.688397;45.878325;bal;bal
74236_B371;Planche-Quart;74170;74236;Saint-Gervais-les-Bains;;;985754.59;6537986.89;6.685662;45.881521;bal;bal
74236_B363;Plan de la Mercellerie;74170;74236;Saint-Gervais-les-Bains;;;985091.84;6539052.67;6.677766;45.891386;bal;bal
74236_C095;Plan du Clos;74170;74236;Saint-Gervais-les-Bains;;;986505.08;6535295.39;6.693705;45.856995;bal;bal
74236_C097;Plan du Clos Devant;74170;74236;Saint-Gervais-les-Bains;;;986699.33;6535302.6;6.69621;45.856978;bal;bal
74236_C098;Plan du Laÿs Derrière;74170;74236;Saint-Gervais-les-Bains;;;986726.9;6534951.14;6.696353;45.853805;bal;bal
74236_C099;Plan du Laÿs Devant;74170;74236;Saint-Gervais-les-Bains;;;986804.65;6534873.51;6.697307;45.853074;bal;bal
74236_B368;Plan du Nérey;74170;74236;Saint-Gervais-les-Bains;;;987655.47;6538856.08;6.71067;45.888538;bal;bal
74236_ytq5rn;Poiset;74170;74236;Saint-Gervais-les-Bains;;;987498.16;6533483.59;6.705394;45.840279;bal;bal
74236_3oq1tn;Porcherey;74170;74236;Saint-Gervais-les-Bains;;;987574.72;6533984.13;6.706682;45.844749;bal;bal
74236_C110;Porcherey-Derrière;74170;74236;Saint-Gervais-les-Bains;;;987610.4;6534250.07;6.707302;45.847126;bal;bal
74236_C111;Porcherey-Devant;74170;74236;Saint-Gervais-les-Bains;;;987694.71;6533757.08;6.708089;45.842656;bal;bal
74236_B382;Poue-Blanche;74170;74236;Saint-Gervais-les-Bains;;;985660.69;6537714.81;6.684289;45.879113;bal;bal
74236_byaffz;Pracondu;74170;74236;Saint-Gervais-les-Bains;;;988229.62;6537380.38;6.71717;45.875021;bal;bal
74236_5ofa8v;Prarion;74170;74236;Saint-Gervais-les-Bains;;;990339.72;6533674.17;6.742079;45.840787;bal;bal
74236_B390;Pré de la Tête;74170;74236;Saint-Gervais-les-Bains;;;990905.18;6535521.41;6.750486;45.857161;bal;bal
74236_h27ys2;Presbert;74170;74236;Saint-Gervais-les-Bains;;;990851.42;6535951.22;6.750057;45.86105;bal;bal
74236_B405;Saint-Martin;74170;74236;Saint-Gervais-les-Bains;;;986854.7;6539403.13;6.700686;45.893797;bal;bal
74236_C118;Saint-Nicolas;74170;74236;Saint-Gervais-les-Bains;;;988808.07;6535125.81;6.723249;45.854496;bal;bal
74236_wtoefy;Sous Bionnay;74170;74236;Saint-Gervais-les-Bains;;;988721.38;6536813.23;6.723158;45.869711;bal;bal
74236_rvmgx7;Sous la Joux;74170;74236;Saint-Gervais-les-Bains;;;990374.28;6535865.74;6.743862;45.860485;bal;bal
74236_qqjxld;Sous la Roche;74170;74236;Saint-Gervais-les-Bains;;;987519.83;6535704.95;6.707016;45.860251;bal;bal
74236_yg3m85;Sous le Bois;74170;74236;Saint-Gervais-les-Bains;;;988558.81;6536780.77;6.721045;45.869488;bal;bal
74236_j7he6m;Sous le Crey;74170;74236;Saint-Gervais-les-Bains;;;987744.17;6536771.64;6.71055;45.869751;bal;bal
74236_ra1qjx;Sous le Crozat;74170;74236;Saint-Gervais-les-Bains;;;988819.94;6535712.14;6.723758;45.859765;bal;bal
74236_etg66x;Sous le Fioux;74170;74236;Saint-Gervais-les-Bains;;;991557.71;6537162.96;6.759893;45.871647;bal;bal
74236_0nzc6g;Sous le Glacier de Bionnasset;74170;74236;Saint-Gervais-les-Bains;;;992832.44;6536387.56;6.775829;45.864125;bal;bal
74236_vzl02b;Sous les Frênes;74170;74236;Saint-Gervais-les-Bains;;;988656.34;6537212.28;6.722563;45.873328;bal;bal
